,date,open,close,high,low,volume,code
1154,2019-09-25,1180.0,1174.0,1188.87,1170.5,24024.0,600519
1155,2019-09-26,1174.94,1167.0,1183.35,1158.81,26081.0,600519
1156,2019-09-27,1164.0,1174.75,1183.0,1153.0,22826.0,600519
1157,2019-09-30,1163.0,1150.0,1169.43,1150.0,30825.0,600519
1158,2019-10-08,1153.0,1167.1,1180.0,1152.01,31045.0,600519
1159,2019-10-09,1166.2,1146.81,1166.2,1135.05,35788.0,600519
1160,2019-10-10,1127.0,1155.0,1158.93,1109.02,41173.0,600519
1161,2019-10-11,1157.0,1174.6,1175.0,1152.21,28689.0,600519
1162,2019-10-14,1186.0,1180.0,1187.66,1170.0,27187.0,600519
1163,2019-10-15,1180.0,1211.0,1215.68,1177.03,40034.0,600519
1164,2019-10-16,1168.0,1170.0,1187.5,1160.0,59150.0,600519
1165,2019-10-17,1176.0,1183.33,1186.66,1162.5,30508.0,600519
1166,2019-10-18,1179.0,1175.79,1189.99,1171.69,28291.0,600519
1167,2019-10-21,1171.86,1168.5,1178.9,1163.3,25274.0,600519
1168,2019-10-22,1178.0,1170.8,1181.5,1163.89,19309.0,600519
1169,2019-10-23,1168.0,1158.91,1178.0,1156.11,23080.0,600519
1170,2019-10-24,1164.95,1150.27,1166.0,1147.16,26178.0,600519
1171,2019-10-25,1153.3,1171.35,1172.5,1143.03,25998.0,600519
1172,2019-10-28,1166.01,1178.29,1181.01,1165.0,22485.0,600519
1173,2019-10-29,1181.11,1193.0,1199.96,1177.77,27803.0,600519
1174,2019-10-30,1190.0,1183.8,1192.7,1176.0,21254.0,600519
1175,2019-10-31,1196.0,1180.01,1198.0,1176.15,25909.0,600519
1176,2019-11-01,1181.0,1185.0,1191.95,1172.5,22811.0,600519
1177,2019-11-04,1190.0,1199.59,1209.99,1189.0,26737.0,600519
1178,2019-11-05,1199.5,1199.0,1205.0,1192.0,22254.0,600519
1179,2019-11-06,1197.0,1193.0,1204.0,1188.88,19737.0,600519
